tld,suffix,country,category,reference
aaa,aaa,,,"2015-02-26 American Automobile Association, Inc."
aarp,aarp,,,2015-05-21 AARP
abarth,abarth,,,2015-07-30 Fiat Chrysler Automobiles N.V.
abb,abb,,,2014-10-24 ABB Ltd
abbott,abbott,,,"2014-07-24 Abbott Laboratories, Inc."
abbvie,abbvie,,,2015-07-30 AbbVie Inc.
abc,abc,,,"2015-07-30 Disney Enterprises, Inc."
able,able,,,2015-06-25 Able Inc.
abogado,abogado,,,"2014-04-24 Registry Services, LLC"
abudhabi,abudhabi,,,2015-07-30 Abu Dhabi Systems and Information Centre
ac,ac,SH,,http://nic.ac/rules.htm
ac,com.ac,SH,,http://nic.ac/rules.htm
ac,drr.ac,SH,,https://carrd.co
ac,edu.ac,SH,education,http://nic.ac/rules.htm
ac,gov.ac,SH,government,http://nic.ac/rules.htm
ac,mil.ac,SH,military,http://nic.ac/rules.htm
ac,net.ac,SH,,http://nic.ac/rules.htm
ac,org.ac,SH,,http://nic.ac/rules.htm
academy,academy,,,"2013-11-07 Binky Moon, LLC"
academy,official.academy,,,https://yescourse.com
accenture,accenture,,,2014-08-15 Accenture plc
accountant,accountant,,,2014-11-20 dot Accountant Limited
accountants,accountants,,,"2014-03-20 Binky Moon, LLC"
aco,aco,,,2015-01-08 ACO Severin Ahlmann GmbH & Co. KG
actor,actor,,,"2013-12-12 Dog Beach, LLC"
ad,ad,AD,,https://en.wikipedia.org/wiki/.ad
ad,nom.ad,AD,,https://en.wikipedia.org/wiki/.ad
adac,adac,,,2015-07-16 Allgemeiner Deutscher Automobil-Club e.V. (ADAC)
ads,ads,,,2014-12-04 Charleston Road Registry Inc.
adult,adult,,,2014-10-16 ICM Registry AD LLC
ae,ac.ae,AE,education,https://tdra.gov.ae/en/aeda/ae-policies
ae,ae,AE,,https://tdra.gov.ae/en/aeda/ae-policies
ae,blogspot.ae,AE,,http://www.goip.de
ae,co.ae,AE,,https://tdra.gov.ae/en/aeda/ae-policies
ae,gov.ae,AE,government,https://tdra.gov.ae/en/aeda/ae-policies
ae,mil.ae,AE,military,https://tdra.gov.ae/en/aeda/ae-policies
ae,net.ae,AE,,https://tdra.gov.ae/en/aeda/ae-policies
ae,org.ae,AE,,https://tdra.gov.ae/en/aeda/ae-policies
ae,sch.ae,AE,,https://tdra.gov.ae/en/aeda/ae-policies
aeg,aeg,,,2015-03-19 Aktiebolaget Electrolux
aero,accident-investigation.aero,,,see https://www.information.aero/index.php?id=66
aero,accident-prevention.aero,,,see https://www.information.aero/index.php?id=66
aero,aero,,,see https://www.information.aero/index.php?id=66
aero,aerobatic.aero,,,see https://www.information.aero/index.php?id=66
aero,aeroclub.aero,,,see https://www.information.aero/index.php?id=66
aero,aerodrome.aero,,,see https://www.information.aero/index.php?id=66
aero,agents.aero,,,see https://www.information.aero/index.php?id=66
aero,air-surveillance.aero,,,see https://www.information.aero/index.php?id=66
aero,air-traffic-control.aero,,,see https://www.information.aero/index.php?id=66
aero,aircraft.aero,,,see https://www.information.aero/index.php?id=66
aero,airline.aero,,,see https://www.information.aero/index.php?id=66
aero,airport.aero,,,see https://www.information.aero/index.php?id=66
aero,airtraffic.aero,,,see https://www.information.aero/index.php?id=66
aero,ambulance.aero,,,see https://www.information.aero/index.php?id=66
aero,amusement.aero,,,see https://www.information.aero/index.php?id=66
aero,association.aero,,,see https://www.information.aero/index.php?id=66
aero,author.aero,,,see https://www.information.aero/index.php?id=66
aero,ballooning.aero,,,see https://www.information.aero/index.php?id=66
aero,broker.aero,,,see https://www.information.aero/index.php?id=66
aero,caa.aero,,,see https://www.information.aero/index.php?id=66
aero,cargo.aero,,,see https://www.information.aero/index.php?id=66
aero,catering.aero,,,see https://www.information.aero/index.php?id=66
aero,certification.aero,,,see https://www.information.aero/index.php?id=66
aero,championship.aero,,,see https://www.information.aero/index.php?id=66
aero,charter.aero,,,see https://www.information.aero/index.php?id=66
aero,civilaviation.aero,,,see https://www.information.aero/index.php?id=66
aero,club.aero,,,see https://www.information.aero/index.php?id=66
aero,conference.aero,,,see https://www.information.aero/index.php?id=66
aero,consultant.aero,,,see https://www.information.aero/index.php?id=66
aero,consulting.aero,,,see https://www.information.aero/index.php?id=66
aero,control.aero,,,see https://www.information.aero/index.php?id=66
aero,council.aero,,,see https://www.information.aero/index.php?id=66
aero,crew.aero,,,see https://www.information.aero/index.php?id=66
aero,design.aero,,,see https://www.information.aero/index.php?id=66
aero,dgca.aero,,,see https://www.information.aero/index.php?id=66
aero,educator.aero,,,see https://www.information.aero/index.php?id=66
aero,emergency.aero,,,see https://www.information.aero/index.php?id=66
aero,engine.aero,,,see https://www.information.aero/index.php?id=66
aero,engineer.aero,,,see https://www.information.aero/index.php?id=66
aero,entertainment.aero,,,see https://www.information.aero/index.php?id=66
aero,equipment.aero,,,see https://www.information.aero/index.php?id=66
aero,exchange.aero,,,see https://www.information.aero/index.php?id=66
aero,express.aero,,,see https://www.information.aero/index.php?id=66
aero,federation.aero,,,see https://www.information.aero/index.php?id=66
aero,flight.aero,,,see https://www.information.aero/index.php?id=66
aero,fuel.aero,,,see https://www.information.aero/index.php?id=66
aero,gliding.aero,,,see https://www.information.aero/index.php?id=66
aero,government.aero,,,see https://www.information.aero/index.php?id=66
aero,groundhandling.aero,,,see https://www.information.aero/index.php?id=66
aero,group.aero,,,see https://www.information.aero/index.php?id=66
aero,hanggliding.aero,,,see https://www.information.aero/index.php?id=66
aero,homebuilt.aero,,,see https://www.information.aero/index.php?id=66
aero,insurance.aero,,,see https://www.information.aero/index.php?id=66
aero,journal.aero,,,see https://www.information.aero/index.php?id=66
aero,journalist.aero,,,see https://www.information.aero/index.php?id=66
aero,leasing.aero,,,see https://www.information.aero/index.php?id=66
aero,logistics.aero,,,see https://www.information.aero/index.php?id=66
aero,magazine.aero,,,see https://www.information.aero/index.php?id=66
aero,maintenance.aero,,,see https://www.information.aero/index.php?id=66
aero,media.aero,,,see https://www.information.aero/index.php?id=66
aero,microlight.aero,,,see https://www.information.aero/index.php?id=66
aero,modelling.aero,,,see https://www.information.aero/index.php?id=66
aero,navigation.aero,,,see https://www.information.aero/index.php?id=66
aero,parachuting.aero,,,see https://www.information.aero/index.php?id=66
aero,paragliding.aero,,,see https://www.information.aero/index.php?id=66
aero,passenger-association.aero,,,see https://www.information.aero/index.php?id=66
aero,pilot.aero,,,see https://www.information.aero/index.php?id=66
aero,press.aero,,,see https://www.information.aero/index.php?id=66
aero,production.aero,,,see https://www.information.aero/index.php?id=66
aero,recreation.aero,,,see https://www.information.aero/index.php?id=66
aero,repbody.aero,,,see https://www.information.aero/index.php?id=66
aero,res.aero,,,see https://www.information.aero/index.php?id=66
aero,research.aero,,,see https://www.information.aero/index.php?id=66
aero,rotorcraft.aero,,,see https://www.information.aero/index.php?id=66
aero,safety.aero,,,see https://www.information.aero/index.php?id=66
aero,scientist.aero,,,see https://www.information.aero/index.php?id=66
aero,services.aero,,,see https://www.information.aero/index.php?id=66
aero,show.aero,,,see https://www.information.aero/index.php?id=66
aero,skydiving.aero,,,see https://www.information.aero/index.php?id=66
aero,software.aero,,,see https://www.information.aero/index.php?id=66
aero,student.aero,,,see https://www.information.aero/index.php?id=66
aero,trader.aero,,,see https://www.information.aero/index.php?id=66
aero,trading.aero,,,see https://www.information.aero/index.php?id=66
aero,trainer.aero,,,see https://www.information.aero/index.php?id=66
aero,union.aero,,,see https://www.information.aero/index.php?id=66
aero,workinggroup.aero,,,see https://www.information.aero/index.php?id=66
aero,works.aero,,,see https://www.information.aero/index.php?id=66
aetna,aetna,,,2015-05-21 Aetna Life Insurance Company
af,af,AF,,http://www.nic.af/help.jsp
af,com.af,AF,,http://www.nic.af/help.jsp
af,edu.af,AF,education,http://www.nic.af/help.jsp
af,gov.af,AF,government,http://www.nic.af/help.jsp
af,net.af,AF,,http://www.nic.af/help.jsp
af,org.af,AF,,http://www.nic.af/help.jsp
afl,afl,,,2014-10-02 Australian Football League
africa,africa,,,2014-03-24 ZA Central Registry NPC trading as Registry.Africa
ag,ag,AG,,http://www.nic.ag/prices.htm
ag,co.ag,AG,,http://www.nic.ag/prices.htm
ag,com.ag,AG,,http://www.nic.ag/prices.htm
ag,net.ag,AG,,http://www.nic.ag/prices.htm
ag,nom.ag,AG,,http://www.nic.ag/prices.htm
ag,org.ag,AG,,http://www.nic.ag/prices.htm
agakhan,agakhan,,,2015-04-23 Fondation Aga Khan (Aga Khan Foundation)
agency,agency,,,"2013-11-14 Binky Moon, LLC"
ai,ai,AI,,http://nic.com.ai
ai,com.ai,AI,,http://nic.com.ai
ai,net.ai,AI,,http://nic.com.ai
ai,off.ai,AI,,http://nic.com.ai
ai,org.ai,AI,,http://nic.com.ai
ai,uwu.ai,AI,,https://carrd.co
aig,aig,,,"2014-12-18 American International Group, Inc."
airbus,airbus,,,2015-07-30 Airbus S.A.S.
airforce,airforce,,,"2014-03-06 Dog Beach, LLC"
airtel,airtel,,,2014-10-24 Bharti Airtel Limited
akdn,akdn,,,2015-04-23 Fondation Aga Khan (Aga Khan Foundation)
al,al,AL,,http://www.ert.gov.al/ert_alb/faq_det.html?Id=31
al,blogspot.al,AL,,http://www.goip.de
al,com.al,AL,,http://www.ert.gov.al/ert_alb/faq_det.html?Id=31
al,edu.al,AL,education,http://www.ert.gov.al/ert_alb/faq_det.html?Id=31
al,gov.al,AL,government,http://www.ert.gov.al/ert_alb/faq_det.html?Id=31
al,mil.al,AL,military,http://www.ert.gov.al/ert_alb/faq_det.html?Id=31
al,net.al,AL,,http://www.ert.gov.al/ert_alb/faq_det.html?Id=31
al,org.al,AL,,http://www.ert.gov.al/ert_alb/faq_det.html?Id=31
alfaromeo,alfaromeo,,,2015-07-31 Fiat Chrysler Automobiles N.V.
alibaba,alibaba,,,2015-01-15 Alibaba Group Holding Limited
alipay,alipay,,,2015-01-15 Alibaba Group Holding Limited
allfinanz,allfinanz,,,2014-07-03 Allfinanz Deutsche Vermögensberatung Aktiengesellschaft
allstate,allstate,,,2015-07-31 Allstate Fire and Casualty Insurance Company
ally,ally,,,2015-06-18 Ally Financial Inc.
alsace,alsace,FR,,2014-07-02 Region Grand Est
alstom,alstom,,,2015-07-30 ALSTOM
am,am,AM,,https://www.amnic.net/policy/en/Policy_EN.pdf
am,blogspot.am,AM,,http://www.goip.de
am,co.am,AM,,https://www.amnic.net/policy/en/Policy_EN.pdf
am,com.am,AM,,https://www.amnic.net/policy/en/Policy_EN.pdf
am,commune.am,AM,,https://www.amnic.net/policy/en/Policy_EN.pdf
am,neko.am,AM,,https://voxel.sh/dns
am,net.am,AM,,https://www.amnic.net/policy/en/Policy_EN.pdf
am,nyaa.am,AM,,https://voxel.sh/dns
am,org.am,AM,,https://www.amnic.net/policy/en/Policy_EN.pdf
am,radio.am,AM,,https://brsmedia.com
amazon,amazon,,,"2019-12-19 Amazon Registry Services, Inc."
americanexpress,americanexpress,,,"2015-07-31 American Express Travel Related Services Company, Inc."
americanfamily,americanfamily,,,"2015-07-23 AmFam, Inc."
amex,amex,,,"2015-07-31 American Express Travel Related Services Company, Inc."
amfam,amfam,,,"2015-07-23 AmFam, Inc."
amica,amica,,,2015-05-28 Amica Mutual Insurance Company
amsterdam,amsterdam,NL,,2014-07-24 Gemeente Amsterdam
analytics,analytics,,,2014-12-18 Campus IP LLC
android,android,,,2014-08-07 Charleston Road Registry Inc.
anquan,anquan,,,"2015-01-08 Beijing Qihu Keji Co., Ltd."
anz,anz,,,2015-07-31 Australia and New Zealand Banking Group Limited
ao,ao,AO,,https://en.wikipedia.org/wiki/.ao
ao,co.ao,AO,,https://en.wikipedia.org/wiki/.ao
ao,ed.ao,AO,education,https://en.wikipedia.org/wiki/.ao
ao,gv.ao,AO,government,https://en.wikipedia.org/wiki/.ao
ao,it.ao,AO,,https://en.wikipedia.org/wiki/.ao
ao,og.ao,AO,,https://en.wikipedia.org/wiki/.ao
ao,pb.ao,AO,,https://en.wikipedia.org/wiki/.ao
aol,aol,,,2015-09-17 Oath Inc.
apartments,apartments,,,"2014-12-11 Binky Moon, LLC"
app,a.run.app,,,http://www.goip.de
app,app,,,2015-05-14 Charleston Road Registry Inc.
app,bookonline.app,,,https://docs.waffleinfo.com
app,clerk.app,,,https://www.clerk.dev
app,clerkstage.app,,,https://www.clerk.dev
app,deta.app,,,https://desec.io
app,easypanel.app,,,https://easypanel.io
app,edgecompute.app,,,http://www.fastly.com
app,encr.app,,,https://en-root.org
app,fireweb.app,,,https://www.firewebkit.com
app,framer.app,,,https://www.framer.com
app,hasura.app,,,https://hasura.io
app,loginline.app,,,https://www.loginline.com
app,messerli.app,,,https://www.messerli.ch
app,netlify.app,,,https://www.netlify.com
app,noop.app,,,https://noop.app
app,ondigitalocean.app,,,https://www.digitalocean.com/products/app-platform
app,onflashdrive.app,,,https://flashdrive.io
app,platform0.app,,,https://www.cyon.ch
app,run.app,,,http://www.goip.de
app,telebit.app,,,https://telebit.cloud
app,typedream.app,,,https://typedream.com
app,vercel.app,,,https://vercel.com
app,web.app,,,http://www.goip.de
app,wnext.app,,,https://clovyr.io
apple,apple,,,2015-05-14 Apple Inc.
aq,aq,AQ,,https://en.wikipedia.org/wiki/.aq
aquarelle,aquarelle,,,2014-07-24 Aquarelle.com
ar,ar,AR,,https://nic.ar/es/nic-argentina/normativa
ar,bet.ar,AR,,https://nic.ar/es/nic-argentina/normativa
ar,blogspot.com.ar,AR,,http://www.goip.de
ar,com.ar,AR,,https://nic.ar/es/nic-argentina/normativa
ar,coop.ar,AR,,https://nic.ar/es/nic-argentina/normativa
ar,edu.ar,AR,education,https://nic.ar/es/nic-argentina/normativa
ar,gob.ar,AR,government,https://nic.ar/es/nic-argentina/normativa
ar,gov.ar,AR,government,https://nic.ar/es/nic-argentina/normativa
ar,int.ar,AR,,https://nic.ar/es/nic-argentina/normativa
ar,mil.ar,AR,military,https://nic.ar/es/nic-argentina/normativa
ar,musica.ar,AR,,https://nic.ar/es/nic-argentina/normativa
ar,mutual.ar,AR,,https://nic.ar/es/nic-argentina/normativa
ar,net.ar,AR,,https://nic.ar/es/nic-argentina/normativa
ar,org.ar,AR,,https://nic.ar/es/nic-argentina/normativa
ar,senasa.ar,AR,,https://nic.ar/es/nic-argentina/normativa
ar,tur.ar,AR,,https://nic.ar/es/nic-argentina/normativa
arab,arab,,,2015-11-12 League of Arab States
aramco,aramco,,,2014-11-20 Aramco Services Company
archi,archi,,,2014-02-06 Identity Digital Limited
army,army,,,"2014-03-06 Dog Beach, LLC"
arpa,arpa,,,https://en.wikipedia.org/wiki/.arpa
arpa,e164.arpa,,,https://en.wikipedia.org/wiki/.arpa
arpa,in-addr.arpa,,,https://en.wikipedia.org/wiki/.arpa
arpa,ip6.arpa,,,https://en.wikipedia.org/wiki/.arpa
arpa,iris.arpa,,,https://en.wikipedia.org/wiki/.arpa
arpa,uri.arpa,,,https://en.wikipedia.org/wiki/.arpa
arpa,urn.arpa,,,https://en.wikipedia.org/wiki/.arpa
art,art,,,2016-03-24 UK Creative Ideas Limited
arte,arte,,,2014-12-11 Association Relative à la Télévision Européenne G.E.I.E.
as,as,US,,https://en.wikipedia.org/wiki/.as
as,gov.as,US,government,https://en.wikipedia.org/wiki/.as
asda,asda,,,"2015-07-31 Wal-Mart Stores, Inc."
asia,asia,,,https://en.wikipedia.org/wiki/.asia
asia,cloudns.asia,,,http://www.cloudns.net
associates,associates,,,"2014-03-06 Binky Moon, LLC"
at,123webseite.at,AT,,https://www.omnibond.com
at,12hp.at,AT,,https://www.trafficplex.de
at,2ix.at,AT,,https://www.trafficplex.de
at,4lima.at,AT,,https://www.trafficplex.de
at,ac.at,AT,education,https://en.wikipedia.org/wiki/.at
at,at,AT,,https://en.wikipedia.org/wiki/.at
at,biz.at,AT,,http://www.info.at
at,blogspot.co.at,AT,,http://www.goip.de
at,co.at,AT,,https://en.wikipedia.org/wiki/.at
at,futurehosting.at,AT,,http://www.futureweb.at
at,futuremailing.at,AT,,http://www.futureweb.at
at,gv.at,AT,government,https://en.wikipedia.org/wiki/.at
at,info.at,AT,,http://www.info.at
at,lima-city.at,AT,,https://www.trafficplex.de
at,myspreadshop.at,AT,,https://www.spreadshop.com
at,or.at,AT,,https://en.wikipedia.org/wiki/.at
at,priv.at,AT,,http://www.nic.priv.at
at,sth.ac.at,AT,education,https://en.wikipedia.org/wiki/.at
at,wien.funkfeuer.at,AT,,https://www.funkfeuer.at
athleta,athleta,,,"2015-07-30 The Gap, Inc."
attorney,attorney,,,"2014-03-20 Dog Beach, LLC"
au,act.au,AU,,https://en.wikipedia.org/wiki/.au
au,act.edu.au,AU,education,https://en.wikipedia.org/wiki/.au
au,asn.au,AU,,https://en.wikipedia.org/wiki/.au
au,au,AU,,https://en.wikipedia.org/wiki/.au
au,blogspot.com.au,AU,,http://www.goip.de
au,catholic.edu.au,AU,education,https://en.wikipedia.org/wiki/.au
au,com.au,AU,,https://en.wikipedia.org/wiki/.au
au,conf.au,AU,,https://en.wikipedia.org/wiki/.au
au,edu.au,AU,education,https://en.wikipedia.org/wiki/.au
au,gov.au,AU,government,https://en.wikipedia.org/wiki/.au
au,id.au,AU,,https://en.wikipedia.org/wiki/.au
au,info.au,AU,,https://en.wikipedia.org/wiki/.au
au,mel.cloudlets.com.au,AU,,https://jelastic.com
au,myspreadshop.com.au,AU,,https://www.spreadshop.com
au,net.au,AU,,https://en.wikipedia.org/wiki/.au
au,nsw.au,AU,,https://en.wikipedia.org/wiki/.au
au,nsw.edu.au,AU,education,https://en.wikipedia.org/wiki/.au
au,nt.au,AU,,https://en.wikipedia.org/wiki/.au
au,nt.edu.au,AU,education,https://en.wikipedia.org/wiki/.au
au,org.au,AU,,https://en.wikipedia.org/wiki/.au
au,oz.au,AU,,https://en.wikipedia.org/wiki/.au
au,qld.au,AU,,https://en.wikipedia.org/wiki/.au
au,qld.edu.au,AU,education,https://en.wikipedia.org/wiki/.au
au,qld.gov.au,AU,government,https://en.wikipedia.org/wiki/.au
au,sa.au,AU,,https://en.wikipedia.org/wiki/.au
au,sa.edu.au,AU,education,https://en.wikipedia.org/wiki/.au
au,sa.gov.au,AU,government,https://en.wikipedia.org/wiki/.au
au,schools.nsw.edu.au,AU,education,https://en.wikipedia.org/wiki/.au
au,tas.au,AU,,https://en.wikipedia.org/wiki/.au
au,tas.edu.au,AU,education,https://en.wikipedia.org/wiki/.au
au,tas.gov.au,AU,government,https://en.wikipedia.org/wiki/.au
au,vic.au,AU,,https://en.wikipedia.org/wiki/.au
au,vic.edu.au,AU,education,https://en.wikipedia.org/wiki/.au
au,vic.gov.au,AU,government,https://en.wikipedia.org/wiki/.au
au,wa.au,AU,,https://en.wikipedia.org/wiki/.au
au,wa.edu.au,AU,education,https://en.wikipedia.org/wiki/.au
au,wa.gov.au,AU,government,https://en.wikipedia.org/wiki/.au
auction,auction,,,"2014-03-20 Dog Beach, LLC"
audi,audi,,,2015-05-21 AUDI Aktiengesellschaft
audible,audible,,,"2015-06-25 Amazon Registry Services, Inc."
audio,audio,,,2014-03-20 XYZ.COM LLC
auspost,auspost,,,2015-08-13 Australian Postal Corporation
author,author,,,"2014-12-18 Amazon Registry Services, Inc."
auto,auto,,,2014-11-13 XYZ.COM LLC
autos,autos,,,2014-01-09 XYZ.COM LLC
avianca,avianca,,,2015-01-08 Avianca Inc.
aw,aw,NL,,https://en.wikipedia.org/wiki/.aw
aw,com.aw,NL,,https://en.wikipedia.org/wiki/.aw
aws,aws,,,2015-06-25 AWS Registry LLC
ax,ax,AX,,https://en.wikipedia.org/wiki/.ax
ax,be.ax,AX,,https://voxel.sh/dns
ax,cat.ax,AX,,https://voxel.sh/dns
ax,es.ax,AX,,https://voxel.sh/dns
ax,eu.ax,AX,,https://voxel.sh/dns
ax,gg.ax,AX,,https://voxel.sh/dns
ax,mc.ax,AX,,https://voxel.sh/dns
ax,us.ax,AX,,https://voxel.sh/dns
ax,xy.ax,AX,,https://voxel.sh/dns
axa,axa,,,2013-12-19 AXA Group Operations SAS
az,az,AZ,,https://en.wikipedia.org/wiki/.az
az,biz.az,AZ,,https://en.wikipedia.org/wiki/.az
az,com.az,AZ,,https://en.wikipedia.org/wiki/.az
az,edu.az,AZ,education,https://en.wikipedia.org/wiki/.az
az,gov.az,AZ,government,https://en.wikipedia.org/wiki/.az
az,info.az,AZ,,https://en.wikipedia.org/wiki/.az
az,int.az,AZ,,https://en.wikipedia.org/wiki/.az
az,mil.az,AZ,military,https://en.wikipedia.org/wiki/.az
az,name.az,AZ,,https://en.wikipedia.org/wiki/.az
az,net.az,AZ,,https://en.wikipedia.org/wiki/.az
az,org.az,AZ,,https://en.wikipedia.org/wiki/.az
az,pp.az,AZ,,https://en.wikipedia.org/wiki/.az
az,pro.az,AZ,,https://en.wikipedia.org/wiki/.az
azure,azure,,,2014-12-18 Microsoft Corporation
ba,ba,BA,,http://nic.ba/users_data/files/pravilnik_o_registraciji.pdf
ba,blogspot.ba,BA,,http://www.goip.de
ba,com.ba,BA,,http://nic.ba/users_data/files/pravilnik_o_registraciji.pdf
ba,edu.ba,BA,education,http://nic.ba/users_data/files/pravilnik_o_registraciji.pdf
ba,gov.ba,BA,government,http://nic.ba/users_data/files/pravilnik_o_registraciji.pdf
ba,mil.ba,BA,military,http://nic.ba/users_data/files/pravilnik_o_registraciji.pdf
ba,net.ba,BA,,http://nic.ba/users_data/files/pravilnik_o_registraciji.pdf
ba,org.ba,BA,,http://nic.ba/users_data/files/pravilnik_o_registraciji.pdf
ba,rs.ba,BA,,https://unibl.org
baby,baby,,,2015-04-09 XYZ.COM LLC
baidu,baidu,,,"2015-01-08 Baidu, Inc."
banamex,banamex,,,2015-07-30 Citigroup Inc.
bananarepublic,bananarepublic,,,"2015-07-31 The Gap, Inc."
band,band,,,"2014-06-12 Dog Beach, LLC"
bank,bank,,,2014-09-25 fTLD Registry Services LLC
bar,bar,,,2013-12-12 Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable
barcelona,barcelona,,,2014-07-24 Municipi de Barcelona
barclaycard,barclaycard,,,2014-11-20 Barclays Bank PLC
barclays,barclays,,,2014-11-20 Barclays Bank PLC
barefoot,barefoot,,,"2015-06-11 Gallo Vineyards, Inc."
bargains,bargains,,,"2013-11-14 Binky Moon, LLC"
baseball,baseball,,,"2015-10-29 MLB Advanced Media DH, LLC"
basketball,aus.basketball,,,https://roar.basketball
basketball,basketball,,,2015-08-20 Fédération Internationale de Basketball (FIBA)
basketball,nz.basketball,,,https://roar.basketball
bauhaus,bauhaus,,,2014-04-17 Werkhaus GmbH
bayern,bayern,DE,,2014-01-23 Bayern Connect GmbH
bb,bb,BB,,https://en.wikipedia.org/wiki/.bb
bb,biz.bb,BB,,https://en.wikipedia.org/wiki/.bb
bb,co.bb,BB,,https://en.wikipedia.org/wiki/.bb
bb,com.bb,BB,,https://en.wikipedia.org/wiki/.bb
bb,edu.bb,BB,education,https://en.wikipedia.org/wiki/.bb
bb,gov.bb,BB,government,https://en.wikipedia.org/wiki/.bb
bb,info.bb,BB,,https://en.wikipedia.org/wiki/.bb
bb,net.bb,BB,,https://en.wikipedia.org/wiki/.bb
bb,org.bb,BB,,https://en.wikipedia.org/wiki/.bb
bb,store.bb,BB,,https://en.wikipedia.org/wiki/.bb
bb,tv.bb,BB,,https://en.wikipedia.org/wiki/.bb
bbc,bbc,,,2014-12-18 British Broadcasting Corporation
bbt,bbt,,,2015-07-23 BB&T Corporation
bbva,bbva,,,"2014-10-02 BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
bcg,bcg,,,"2015-04-02 The Boston Consulting Group, Inc."
bcn,bcn,,,2014-07-24 Municipi de Barcelona
bd,gov.bd,BD,government,https://en.wikipedia.org/wiki/.bd
bd,mil.bd,BD,military,https://en.wikipedia.org/wiki/.bd
be,123website.be,BE,,https://www.omnibond.com
be,ac.be,BE,education,https://en.wikipedia.org/wiki/.be
be,be,BE,,https://en.wikipedia.org/wiki/.be
be,blogspot.be,BE,,http://www.goip.de
be,cloud.interhostsolutions.be,BE,,https://jelastic.com
be,ezproxy.kuleuven.be,BE,,https://kuroku.ltd
be,myspreadshop.be,BE,,https://www.spreadshop.com
be,webhosting.be,BE,,https://www.combell.com
beats,beats,,,"2015-05-14 Beats Electronics, LLC"
beauty,beauty,,,2015-12-03 XYZ.COM LLC
beer,beer,,,"2014-01-09 Registry Services, LLC"
bentley,bentley,,,2014-12-18 Bentley Motors Limited
berlin,berlin,DE,,2013-10-31 dotBERLIN GmbH & Co. KG
best,best,,,2013-12-19 BestTLD Pty Ltd
bestbuy,bestbuy,,,"2015-07-31 BBY Solutions, Inc."
bet,bet,,,2015-05-07 Identity Digital Limited
bf,bf,BF,,https://en.wikipedia.org/wiki/.bf
bf,gov.bf,BF,government,https://en.wikipedia.org/wiki/.bf
bg,0.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,1.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,2.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,3.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,4.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,5.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,6.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,7.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,8.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,9.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,a.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,b.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,barsy.bg,BG,,https://lukanet.com
bg,bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,blogspot.bg,BG,,http://www.goip.de
bg,c.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,d.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,e.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,f.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,g.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,h.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,i.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,j.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,k.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,l.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,m.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,n.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,o.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,p.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,q.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,r.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,s.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,t.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,u.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,v.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,w.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,x.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,y.bg,BG,,https://en.wikipedia.org/wiki/.bg
bg,z.bg,BG,,https://en.wikipedia.org/wiki/.bg
bh,bh,BH,,https://en.wikipedia.org/wiki/.bh
bh,com.bh,BH,,https://en.wikipedia.org/wiki/.bh
bh,edu.bh,BH,education,https://en.wikipedia.org/wiki/.bh
bh,gov.bh,BH,government,https://en.wikipedia.org/wiki/.bh
bh,net.bh,BH,,https://en.wikipedia.org/wiki/.bh
bh,org.bh,BH,,https://en.wikipedia.org/wiki/.bh
bharti,bharti,,,2014-01-09 Bharti Enterprises (Holding) Private Limited
